,en,ko
ID_CARD_INFO_footmans,"A melee robotic squad equipped with a horrible anti-barrier chain saw. One is weak, but four is strong!",무시무시한 안티 배리어 체인쏘를 무장한 근접 공격 로봇 부대입니다. 혼자서는 약하지만 무려 4기가 동시에 공격한다구요!
ID_CARD_INFO_gargoyles,"It is a small fighter flight equipped with a barrier to counter the other ranged squires. It is fast approaching while endure fire net, and it is made by flamethrower. Be careful of the flame of the gargoyles!",배리어를 장착하고 카운터 어택을 하는 소형 전투기 부대입니다. 화망을 견디면서 빠르게 접근하여 화염방사기로 지져줍니다. 가고일 무리의 불꽃을 조심하세요!
ID_CARD_INFO_gargoyleking,"There is a big, hard armor in the gargoyle. Who is it? King of gargoyles leading the gargoyle squad! Gargoyle King.","가고일 무리 중에서 유난히 덩치가 크고, 튼튼한 장갑을 갖춘 녀석이 있습니다. 누구냐구요? 가고일 분대를 이끄는 가고일의 왕! 가고일킹입니다."
ID_CARD_INFO_gargoylesquad,"Armed with a flamethrower, it is a fighter type squad equipped with a barrier. The Gargoyles are just a flight, but the Gargoyle squad are Squadron!","화염방사기를 무장하고, 배리어를 장착한 전투기 부대입니다. 가고일즈는 그냥 무리이지만, 가고일 스쿼드는 분대라고요!"
ID_CARD_INFO_giant,"It is a slow and large siege squire equipped with a siege drill. Before the material converter was commercialized, it was a spacecraft that was used for crushing asteroids. ","느리지만 맷집이 좋고, 공성드릴을 장착한 거대공성병기입니다. 과거 물질변환기가 상용화되기 전에 소행성 분쇄용으로 쓰던 우주선이었습니다. 이제 시대가 바뀌어서 땅을 파던 거대한 드릴은 기사들을 쪼개는데 쓰고있죠!"
ID_CARD_INFO_heavymissiles,Will the missile be useful in the space age? Yeah! Still useful. The three heavy missiles follow the enemy steadily and intercepts hotly.,우주시대에도 미사일이 쓸만할까요? 네! 여전히 쓸만합니다. 3기의 헤비미사일은 우직하게 적을 따라다니며 화끈하게 요격한답니다.
ID_CARD_INFO_jouster,"Transforming robot squire who charge attack with an AB Lancer that pierces the barrier. When it transform into a fighter form, it will deal double damage.",배리어를 뚫는 AB랜서를 들고 적에게 돌격하는 근접 공격 변신! 로봇 스콰이어. 전투기 형태로 변신하여 돌격할 때는 2배의 데미지를 줍니다.
ID_CARD_INFO_micromissiles,"Do you know the proverb, ""Many a little makes a mickle""? If you ignore 12 micro missiles, you can get really mickle.",가랑비에 옷 젖는다는 줄 모른다라는 속담을 알고 계신가요? 12기의 마이크로 미사일을 무시하면 정말 푹 젖어버릴 수 있습니다.
ID_CARD_INFO_nukemissile,"""Now I am become Death, the destroyer of worlds."" Nuke missiles, which are tactical nuclear weapons, are flying aiming only at the knights.","""나는 이제 죽음이요. 세상의 파괴자가 되었도다."" 전술 핵병기인 누크미사일은 기사만을 목표로 하여 날아갑니다. 기사에 도달하면 기사뿐 아니라 주변에 엄청난 데미지를 뿌립니다. 핵이니까요!"
ID_CARD_INFO_ogre,"It is a giant robot squire with thick armor and slow motion. Ogre's heavy AB sword swings slowly, but the power is tremendous.","두터운 장갑을 붙여 움직임이 느린 거대 로봇 스콰이어입니다. 오우거의 거대한 AB소드는 느리게 휘두르지만, 위력은 엄청납니다."
ID_CARD_INFO_panzerkunstler,"Panzer Kunstler is a robot martial artist. Fighting style is only fighting with your own fists, and a supersonic punch missile blow is a special move!","기갑술을 쓰는 로봇격투가. 격투가답게 오직 자신의 주먹만으로 싸우며, 초음속 펀치인 미사일 블로우가 필살기입니다!"
ID_CARD_INFO_pixies,"A small, drone-type squire that can be etherized in an overlying state. In the ether state, it can penetrate without interfering with the substance. It is said to be the work of Pixie King, an ancient mysterious knight and a fairy king.",상중첩 상태인 에테르화가 가능한 소형 드론형 스콰이어. 에테르 상태에서는 물질과 간섭하지 않고 그대로 투과할 수 있습니다. 고대의 신비한 나이트이자 요정왕이라 불리우는 픽시킹의 작품이라고 알려져있습니다.
ID_CARD_INFO_psabu,"Robot martial artist. Master of Space karate. It uses electro-magnetic punch which completes electricity in the body at high speed rolling. This technique sucks things around in a tempting position, and then crushes them.","우주공수도의 마스터인 로봇격투가. 체내의 전기를 고속회전시켜 완성하는 일렉트로마그네틱 펀치를 씁니다. 이 기술은 강력한 전자기장을 발생시켜, 주변의 사물을 때리기 좋게 빨아들인 후, 강력한 펀치로 분쇄하는 필살기입니다."
ID_CARD_INFO_sentries,It is an ultra-small fighter squad enough to be mistaken for a drones. Who is the captain of the three-member sentrys team?,드론으로 착각할 수 있을 만큼 작은 초소형 전투기 편대입니다. 3기로 구성된 센트리즈 편대의 편대장은 누구일까요?
ID_CARD_INFO_shadowvision,"A medium-sized bomber that can be etherized to arbitrarily control quantum contraction and superposition. Cause it doesn't interfere with material, it can go anywhere without being detected.",양자적 수축과 중첩 상태를 마음대로 조절하는 에테르화가 가능한 중형 폭격기. 물질과 간섭하지 않기 때문에 적에게 탐지되지 않으면서 어디든 몰래 지나갈 수 있습니다. 그렇게 상대방의 코앞에서 갑자기 실체화하여 미사일을 퍼붓는 것이죠
ID_CARD_INFO_starfire,"Medium sized fighter type squire with power and armor. The longest range of ranged attack square, so if you have the troops to escort you will be surprised by the firepower.","화력과 장갑을 강화한 중형전투기 스콰이어. 원거리 공격 스콰이어중 가장 사거리가 길기 때문에, 호위해줄 병력만 있다면 깜짝 놀랄 화력을 보여줄 것입니다. "
ID_CARD_INFO_starfiresquadron,"The Starfire squadron is a veteran squadron that has been victorious in many operations in the galactic empire. After they left the army, become veteran of the squire, but they are not rusty at all.","스타파이어 편대는 과거 은하제국군에서 여러 작전에 투입되어 승리를 이끌어냈던 베테랑 편대입니다. 현재는 퇴역하여 나이츠를 호위하는 스콰이어가 되었지만, 실력은 전혀 녹슬지 않았군요."
ID_CARD_INFO_trainees,"Trainee is three trainees who entered the squire to learn space martial arts. Respectively, panzerkunstler, psabu, you can take them as a teacher. uh? What about the other one?","트레이니들은 우주무술을 배우기 위해 스콰이어로 들어온 3명의 수련생입니다. 각각 팬저쿤슬러, 싸부를 스승으로 모시면 되겠네요. 어? 남은 한 명은 어쩌죠?"
ID_CARD_INFO_voidcreeper,"A robot squire remind of an reaper. It is the ambassador of the battlefield who wields the giant AB scythe and collects the lives of the enemies. When it die, it does not die alone like a reaper. Be careful ~",사신을 연상시키는 로봇 스콰이어. 거대한 AB낫을 휘둘러 적들의 목숨을 수거해가는 전장의 사신입니다. 사신답게 죽을 때도 혼자 죽지는 않습니다. 조심하세요~
ID_CARD_INFO_wasp,"The siege type squire, which was specialized in grinding the asteroid with the Giant. When it reaches the target, it injects the molten melt and breaks the hole. It's a planet or a knight.","자이언트와 함께 소행성 분쇄가 전문이었던 공성 스콰이어. 단단한 물질도 녹이는 용융액을 담고 다니며, 목표물에 도달하면 용융액을 주사하여 구멍을 내버립니다. 그게 행성이건 나이트건 말이죠. 게다가 와스프가 파괴될 땐 그 무시무시한 용융액이 터져나옵니다. "
ID_CARD_INFO_archengineer,The construction type knight which was a construction worker in the star system terraforming. It is a hands-on knight that is equipped with an all-purpose printer and produces anything with a design. ,"항성계 테라포밍 당시 건설용 기체였던 설치형 나이트. 만능 프린터를 장비하고 있어서, 설계도만 있으면 무엇이든 만들어내는 재주꾼 나이트입니다. 과거 제국 기사단에서 후방을 보조하는 역할을 맡았지만, 현재는 자유기사의 신분으로 아레나에 출전하고 있습니다."
ID_CARD_INFO_archsapper,"The construction type knight who worked as a construction worker with an Arcengineer in the star system terraforming. Likewise, build an AB Canon equipped with all-purpose printer.","항성계 테라포밍에서 아크엔지니어와 함께 건설용 기체였던 설치형 나이트. 마찬가지로 만능 프린터를 장비하고 있고, 배리어를 가진 스콰이어를 파괴하는데 특화된 AB캐논을 설치합니다."
ID_CARD_INFO_astra,"The generation ship that was built during era of interstellar immigration. It is the work of Melon Eusk who was the CEO of space immigration company. After retiring, It was given a job as a knight in the Galactic empire.",대우주이민시대에 건조된 외항성계 이주용 우주선. 이 분야의 선두주자였던 멜론 어스크의 작품입니다. 이후 퇴역한 뒤 그간의 공로를 기려 은하제국의 나이트로 서임을 받았습니다. 일직선의 적을 순식간에 파괴하는 메가레이져라는 대출력빔병기가 필살기입니다.
ID_CARD_INFO_buran,It is a construction type knight from the space shuttle who played transport part in interstellar exploration era. It was responsible for carrying heavy cargoes among the planet. ,우주개척시대에 활약하던 우주 왕복선 출신의 설치형 나이트. 무거운 화물을 싣고 행성을 오가는 임무를  맡았었습니다. 그 뒤로 전쟁시대엔 전투수송기로 개조되어 운용되다가 은하제국이 세워진 뒤 기사로 임명되었다. 자신의 능력를 살린 파괴위성 설치가 장기 
ID_CARD_INFO_frost,A knight using the Clausius particle beam that emits heat to the outside. Frost from the head of the Western Knights of the Empire. The Clausius particle beam slows the generation and conversion of energy. ,"열을 외부로 방출시키는 클라지우스 입자빔을 사용하는 나이트. 제국 서부기사단의 단장 출신의 나이트. 클라지우스 입자빔은 물리적인 폭발을 억제하고, 에너지의 생성과 전환을 느리게 만듭니다. 심지어 AB무기처럼 배리어도 관통시킬정도의 경도도 갖췄습니다."
ID_CARD_INFO_ironcoffin,An aircraft carrier knight that can contain Sentry flight battalions. Injects a Sentry Shelter that keeps sending the Sentries. It looks like a giant coffin.,"센트리 비행대대를 격납가능한 항공모함형 나이트. 센트리들을 계속 출격시키는 센트리쉘터를 사출합니다. 전투할 때마다 엄청난 수의 센트리를 내보내지만, 귀환율은 낮기 때문에, 동료은 철관을 메고다닌다고 비아냥거렸고, 그것이 기사명으로 되었습니다."
ID_CARD_INFO_judge,A sniper robot-type knight made in the age of interstellar civil war. It is a specialist of various firearms. The most favorite weapon is the RAILSHOOTER55,"성계 내전시대에 만들어진 저격로봇형 나이트. 각종 화기의 스페셜리스트입니다. 가장 아끼는 무기는 레일슈터55. 저격수답게 다른 기사들보다 더 긴 사정거리를 가지고 있으며, 필살기로는 광대한 지역을 폭격하는 블릿레인을 사용합니다."
ID_CARD_INFO_lancer,"A tactical bomber-type knight made during the civil war era. Spray nano machines that will erode enemy squire for a period of time. If you see a green cloud of nanomachines, it is a sign of danger. Please come back!",성계 내전시대에 만들어진 전술폭격기형 나이트. 일정 시간동안 적 스콰이어를 부식시키는 나노머신을 살포합니다. 부식나노머신의 녹색구름이 보이면 위험하다는 표시입니다. 꼭 돌아가세요!
ID_CARD_INFO_legion,"A transforming robot-type knight that transforms the shape of a fighter and the shape of a robot. Normally, it shoots the opponent in a robot form, but when it use special skill, it turns into a fighter and drops bomb.","전투기의 형태와 로봇의 형태를 오가면서 변신하는 변신로봇형 나이트. 평소에는 로봇형태로 모선위에서 안정된 자세로 상대방을 사격하지만, 필살기를 쓸때에는 전투기로 변하여 적진을 돌파하여 폭격하곤 합니다."
ID_CARD_INFO_nagmash,"A knight that used to be an infantry battle ship in the past war. It can carry 4 units of Footman, the standard infantry of the Imperial standard, and you can deliver footmen anywhere on the battlefield if necessary. Four more here.","과거 전쟁때 보병전투수송선으로 활약했던 나이트. 제국표준규격보병인 풋맨을 4기씩 수송할 수 있으며, 필요하면 전장의 어느위치로든 풋맨을 배달할 수 있습니다. 여기 4마리 더 추가요~"
ID_CARD_INFO_pixieking,"Pixie King is a mysterious ancient knight called Fairy King. Pixie King, a wizard and scientist who identified a state of ether that could freely control quantum superposition and created special ether dron, Pixie","픽시킹은 요정왕이라 불리었던 신비한 고대의 나이트입니다. 양자중첩상태를 연구하던 마법사이자 과학자였던 픽시킹은 양자중첩을 자유롭게 제어할 수 있는 에테르라는 상태를 규명하고, 에테르를 자유롭게 오갈 수 있는 드론인 픽시를 만들었습니다."
ID_CARD_INFO_tombstone,"During the Great War It conducted the 55 Infantry Battalion. It has jumped into the Knight Arena with loads of footman in those days. It manages the barracks piled up with layers of footman, and it is called a gravestone.","대전쟁 시절 제55강습보병대대를 지휘하던 나이트. 그 시절의 부하 풋맨들과 같이 나이트 아레나에 뛰어들었습니다. 풋맨들을 겹겹히 쌓아넣은 배럭을 운용하는데, 풋맨들끼리 자조섞인 농담으로 묘비라고 부릅니다. 아마도 기사명이 툼스톤인 이유가??"
ID_CARD_INFO_valkyrie,"The knight that escorted generation ships in the age of interstellar immigration. Until the emigrants find their new hometown and settled down, It has succeeded in various tasks.","대우주이민시대에 이민선들을 호위하던 나이트. 이민선들이 새로운 고향을 찾아 정착할 때까지 여러가지 임무를 맡아서 성공시킨 전력이 있습니다. 다른 나이트들에 비해 날렵한 몸체를 가지고 있어서, 예리하고 빠른 EMP공격을 필살기로 씁니다. "
